test,timestamp,vin_set,iload_set_a,vin_meas,iin_meas_a,pin_w,vout_meas,iout_meas_a,pout_w,efficiency,iq_ma
iq,2026-05-29T22:32:42.166423+00:00,6.0000,,5.996600,0.000230341,0.001381263,,,,,0.230341
iq,2026-05-29T22:32:45.337618+00:00,7.0000,,6.996100,0.000190253,0.001331031,,,,,0.190253
iq,2026-05-29T22:32:48.629309+00:00,8.0000,,7.996000,0.000177029,0.001415525,,,,,0.177029
iq,2026-05-29T22:32:51.836973+00:00,9.0000,,8.995400,0.000171516,0.001542859,,,,,0.171516
iq,2026-05-29T22:32:55.086330+00:00,10.0000,,9.995400,0.000167397,0.001673196,,,,,0.167397
iq,2026-05-29T22:32:58.336426+00:00,11.0000,,10.996000,0.000158920,0.001747486,,,,,0.158920
iq,2026-05-29T22:33:01.619342+00:00,12.0000,,11.995300,0.000147210,0.001765824,,,,,0.147210
iq,2026-05-29T22:33:04.858802+00:00,13.0000,,12.995400,0.000146299,0.001901208,,,,,0.146299
iq,2026-05-29T22:33:08.333907+00:00,14.0000,,13.995200,0.000135609,0.001897875,,,,,0.135609
iq,2026-05-29T22:33:11.876913+00:00,15.0000,,14.994700,0.000131481,0.001971524,,,,,0.131481
iq,2026-05-29T22:33:15.084107+00:00,16.0000,,15.996400,0.000137961,0.002206877,,,,,0.137961
iq,2026-05-29T22:33:18.518617+00:00,17.0000,,16.997000,0.000130114,0.002211547,,,,,0.130114
iq,2026-05-29T22:33:21.992431+00:00,18.0000,,17.995300,0.000133849,0.002408660,,,,,0.133849
efficiency,2026-05-29T22:33:30.851968+00:00,8.0000,0.0100,7.9962,0.007959,0.063638,4.9074,0.010200,0.050055,0.786569,
efficiency,2026-05-29T22:33:34.118270+00:00,8.0000,0.0200,7.9962,0.014469,0.115698,4.9067,0.020100,0.098625,0.852429,
efficiency,2026-05-29T22:33:37.368263+00:00,8.0000,0.0500,7.9962,0.033939,0.271382,4.9043,0.049900,0.244725,0.901772,
efficiency,2026-05-29T22:33:40.634633+00:00,8.0000,0.1000,7.9962,0.067103,0.536571,4.8971,0.099600,0.487751,0.909015,
efficiency,2026-05-29T22:33:43.913170+00:00,8.0000,0.2000,7.9961,0.131138,1.048593,4.8830,0.199600,0.974647,0.929480,
efficiency,2026-05-29T22:33:47.134157+00:00,8.0000,0.5000,7.9960,0.329437,2.634175,4.8483,0.499700,2.422696,0.919717,
efficiency,2026-05-29T22:33:50.384065+00:00,8.0000,1.0000,7.9962,0.691354,5.528206,4.7894,0.999700,4.787963,0.866097,
efficiency,2026-05-29T22:33:55.941587+00:00,10.0000,0.0100,9.9955,0.006482,0.064791,4.9129,0.010200,0.050112,0.773434,
efficiency,2026-05-29T22:33:59.149629+00:00,10.0000,0.0200,9.9957,0.011753,0.117480,4.9112,0.020100,0.098715,0.840275,
efficiency,2026-05-29T22:34:02.399742+00:00,10.0000,0.0500,9.9957,0.027491,0.274788,4.9181,0.049900,0.245413,0.893099,
efficiency,2026-05-29T22:34:05.665969+00:00,10.0000,0.1000,9.9956,0.054109,0.540855,4.9046,0.099600,0.488498,0.903197,
efficiency,2026-05-29T22:34:08.915446+00:00,10.0000,0.2000,9.9955,0.108599,1.085505,4.8882,0.199600,0.975685,0.898830,
efficiency,2026-05-29T22:34:12.210867+00:00,10.0000,0.5000,9.9955,0.266328,2.662079,4.8480,0.499600,2.422061,0.909838,
efficiency,2026-05-29T22:34:15.432034+00:00,10.0000,1.0000,9.9954,0.550704,5.504507,4.8015,0.999700,4.800060,0.872024,
efficiency,2026-05-29T22:34:20.990339+00:00,12.0000,0.0100,11.9955,0.005491,0.065864,4.9197,0.010200,0.050181,0.761893,
efficiency,2026-05-29T22:34:24.198196+00:00,12.0000,0.0200,11.9955,0.009959,0.119462,4.9177,0.020100,0.098846,0.827423,
efficiency,2026-05-29T22:34:27.495558+00:00,12.0000,0.0500,11.9956,0.023355,0.280160,4.9163,0.049900,0.245323,0.875653,
efficiency,2026-05-29T22:34:30.696090+00:00,12.0000,0.1000,11.9955,0.045623,0.547266,4.9274,0.099700,0.491262,0.897666,
efficiency,2026-05-29T22:34:33.947011+00:00,12.0000,0.2000,11.9955,0.091078,1.092527,4.9001,0.199700,0.978550,0.895676,
efficiency,2026-05-29T22:34:37.242420+00:00,12.0000,0.5000,11.9955,0.224600,2.694183,4.8567,0.499700,2.426893,0.900790,
efficiency,2026-05-29T22:34:40.463338+00:00,12.0000,1.0000,11.9954,0.455514,5.464069,4.7962,0.999700,4.794761,0.877507,
efficiency,2026-05-29T22:34:46.021622+00:00,14.0000,0.0100,13.9952,0.004767,0.066709,4.9262,0.010200,0.050247,0.753226,
