test,timestamp,vin_set,iload_set_a,vin_meas,iin_meas_a,pin_w,vout_meas,iout_meas_a,pout_w,efficiency,iq_ma
efficiency,2026-05-29T22:34:49.229081+00:00,14.0000,0.0200,13.9954,0.008651,0.121081,4.9243,0.020100,0.098978,0.817456,
efficiency,2026-05-29T22:34:52.479169+00:00,14.0000,0.0500,13.9954,0.020311,0.284263,4.9223,0.049900,0.245623,0.864070,
efficiency,2026-05-29T22:34:55.745403+00:00,14.0000,0.1000,13.9954,0.039535,0.553312,4.9400,0.099700,0.492518,0.890127,
efficiency,2026-05-29T22:34:58.995380+00:00,14.0000,0.2000,13.9954,0.078938,1.104773,4.9285,0.199700,0.984221,0.890881,
efficiency,2026-05-29T22:35:02.290767+00:00,14.0000,0.5000,13.9954,0.194784,2.726081,4.8736,0.499700,2.435338,0.893348,
efficiency,2026-05-29T22:35:05.512069+00:00,14.0000,1.0000,13.9952,0.395926,5.541061,4.8300,0.999700,4.828551,0.871413,
efficiency,2026-05-29T22:35:11.069963+00:00,16.0000,0.0100,15.9967,0.004232,0.067696,4.9333,0.010200,0.050320,0.743322,
efficiency,2026-05-29T22:35:14.277531+00:00,16.0000,0.0200,15.9967,0.007656,0.122469,4.9309,0.020100,0.099111,0.809276,
efficiency,2026-05-29T22:35:17.527379+00:00,16.0000,0.0500,15.9966,0.017987,0.287737,4.9295,0.049900,0.245982,0.854884,
efficiency,2026-05-29T22:35:20.794048+00:00,16.0000,0.1000,15.9966,0.034962,0.559272,4.9524,0.099600,0.493259,0.881967,
efficiency,2026-05-29T22:35:24.042785+00:00,16.0000,0.2000,15.9966,0.069616,1.113611,4.9394,0.199600,0.985904,0.885322,
efficiency,2026-05-29T22:35:27.338162+00:00,16.0000,0.5000,15.9966,0.172105,2.753087,4.8890,0.499700,2.443033,0.887380,
efficiency,2026-05-29T22:35:30.559728+00:00,16.0000,1.0000,15.9967,0.350703,5.610095,4.8665,0.999700,4.865040,0.867194,
efficiency,2026-05-29T22:35:36.116887+00:00,18.0000,0.0100,17.9956,0.003786,0.068134,4.9381,0.010300,0.050862,0.746505,
efficiency,2026-05-29T22:35:39.325412+00:00,18.0000,0.0200,17.9956,0.006837,0.123043,4.9378,0.020200,0.099744,0.810641,
efficiency,2026-05-29T22:35:42.575312+00:00,18.0000,0.0500,17.9956,0.016088,0.289505,4.9366,0.050000,0.246830,0.852594,
efficiency,2026-05-29T22:35:45.841559+00:00,18.0000,0.1000,17.9956,0.031381,0.564716,4.9633,0.099700,0.494841,0.876265,
efficiency,2026-05-29T22:35:49.091205+00:00,18.0000,0.2000,17.9956,0.062399,1.122914,4.9490,0.199700,0.988315,0.880135,
efficiency,2026-05-29T22:35:52.386063+00:00,18.0000,0.5000,17.9957,0.154801,2.785752,4.9214,0.499700,2.459224,0.882786,
efficiency,2026-05-29T22:35:55.607764+00:00,18.0000,1.0000,17.9956,0.315072,5.669901,4.8950,0.999700,4.893531,0.863072,
