test,timestamp,vin_set,iload_set_a,vin_meas,iin_meas_a,pin_w,vout_meas,iout_meas_a,pout_w,efficiency,iq_ma
iq,2026-05-29T22:44:13.150578+00:00,6.0000,,5.996400,0.000217321,0.001303143,,,,,0.217321
iq,2026-05-29T22:44:16.302201+00:00,7.0000,,6.995700,0.000185192,0.001295546,,,,,0.185192
iq,2026-05-29T22:44:19.563552+00:00,8.0000,,7.995600,0.000177750,0.001421214,,,,,0.177750
iq,2026-05-29T22:44:22.824654+00:00,9.0000,,8.995000,0.000163584,0.001471435,,,,,0.163584
iq,2026-05-29T22:44:26.084512+00:00,10.0000,,9.995000,0.000157215,0.001571362,,,,,0.157215
iq,2026-05-29T22:44:29.337589+00:00,11.0000,,10.995500,0.000140961,0.001549939,,,,,0.140961
iq,2026-05-29T22:44:32.865784+00:00,12.0000,,11.995200,0.000142428,0.001708451,,,,,0.142428
iq,2026-05-29T22:44:36.271188+00:00,13.0000,,12.995200,0.000149959,0.001948744,,,,,0.149959
iq,2026-05-29T22:44:40.335086+00:00,14.0000,,13.994900,0.000143597,0.002009627,,,,,0.143597
iq,2026-05-29T22:44:44.558894+00:00,15.0000,,14.994500,0.000114760,0.001720765,,,,,0.114760
iq,2026-05-29T22:44:49.512086+00:00,16.0000,,15.996200,0.000133264,0.002131715,,,,,0.133264
iq,2026-05-29T22:44:52.873727+00:00,17.0000,,16.996700,0.000078306,0.001330938,,,,,0.078306
iq,2026-05-29T22:44:56.259973+00:00,18.0000,,17.995200,0.000081441,0.001465541,,,,,0.081441
efficiency,2026-05-29T22:45:05.360682+00:00,8.0000,0.0100,7.9960,0.007988,0.063873,4.9250,0.010200,0.050235,0.786486,
efficiency,2026-05-29T22:45:08.565360+00:00,8.0000,0.0200,7.9960,0.014549,0.116337,4.9247,0.020100,0.098986,0.850860,
efficiency,2026-05-29T22:45:11.815149+00:00,8.0000,0.0500,7.9959,0.034000,0.271859,4.9267,0.049900,0.245842,0.904301,
efficiency,2026-05-29T22:45:15.082044+00:00,8.0000,0.1000,7.9959,0.067185,0.537208,4.9187,0.099600,0.489903,0.911942,
efficiency,2026-05-29T22:45:18.360333+00:00,8.0000,0.2000,7.9958,0.131403,1.050676,4.9051,0.199600,0.979058,0.931837,
efficiency,2026-05-29T22:45:21.581239+00:00,8.0000,0.5000,7.9958,0.333731,2.668448,4.8645,0.499700,2.430791,0.910938,
efficiency,2026-05-29T22:45:24.830984+00:00,8.0000,1.0000,7.9959,0.693077,5.541776,4.8004,0.999700,4.798960,0.865961,
